order_id,customer_id,order_date,amount,status
1000,600,2025-02-23,17.24,Delivered
1001,921,2025-03-12,58.6,Delivered
1002,506,2023-10-14,38.83,Delivered
1003,889,2025-07-02,5.0,Delivered
1004,425,2024-11-14,51.65,Delivered
1005,246,2025-01-10,57.58,Delivered
1006,412,2025-04-29,109.42,Returned
1007,627,2025-01-04,74.22,Delivered
1008,790,2024-03-16,52.39,Delivered
1009,315,2025-03-07,55.85,Delivered
1010,820,2025-06-23,69.53,Delivered
1011,516,2025-03-24,95.72,Delivered
1012,216,2025-06-18,139.33,Delivered
1013,126,2025-05-14,47.89,Delivered
1014,265,2025-05-01,106.04,Delivered
1015,87,2024-09-29,72.43,Delivered
1016,612,2025-05-22,53.76,Delivered
1017,891,2024-08-13,95.39,Delivered
1018,605,2025-03-01,37.55,Delivered
1019,416,2024-05-21,135.94,Delivered
1020,640,2023-06-16,57.6,Delivered
1021,520,2025-06-26,76.96,Delivered
1022,307,2024-08-11,69.48,Delivered
1023,155,2025-04-28,46.32,Delivered
1024,903,2024-10-14,105.83,Cancelled
1025,130,2025-05-27,65.68,Delivered
1026,436,2024-07-11,124.76,Delivered
1027,386,2024-12-25,78.8,Delivered
1028,94,2024-01-21,71.64,Delivered
1029,832,2024-11-28,71.28,Delivered
1030,684,2025-06-15,45.11,Delivered
1031,1000,2025-07-07,29.34,Delivered
1032,55,2025-02-09,98.82,Delivered
1033,183,2024-03-22,53.11,Cancelled
1034,258,2025-04-23,112.27,Delivered
1035,683,2024-09-17,5.0,Delivered
1036,593,2025-07-10,34.99,Delivered
1037,368,2025-02-22,71.58,Delivered
1038,934,2024-02-03,108.65,Returned
1039,799,2025-06-30,8.18,Delivered
1040,541,2024-03-03,63.09,Delivered
1041,588,2024-11-24,101.84,Delivered
1042,190,2024-09-28,51.1,Delivered
1043,80,2025-05-17,14.11,Delivered
1044,478,2025-05-23,44.17,Delivered
1045,880,2025-06-10,135.47,Delivered
1046,67,2024-06-25,49.83,Delivered
1047,908,2024-02-10,63.96,Delivered
1048,465,2025-05-25,170.15,Delivered
1049,845,2024-02-17,64.29,Delivered
1050,98,2025-05-10,79.77,Delivered
1051,87,2025-05-26,73.05,Delivered
1052,412,2024-04-01,61.46,Delivered
1053,452,2024-03-25,97.33,Returned
1054,408,2025-07-09,70.34,Delivered
1055,417,2025-05-14,54.87,Delivered
1056,169,2024-10-06,59.78,Delivered
1057,193,2023-03-09,75.92,Delivered
1058,620,2025-03-10,99.68,Delivered
1059,696,2025-05-24,79.19,Delivered
1060,529,2025-07-13,52.02,Cancelled
1061,383,2025-02-12,69.34,Delivered
1062,575,2024-05-21,73.36,Delivered
1063,953,2025-06-12,5.0,Delivered
1064,872,2024-04-12,114.33,Delivered
1065,624,2025-02-09,80.79,Delivered
1066,11,2025-05-10,72.9,Delivered
1067,152,2025-04-10,48.1,Delivered
1068,276,2025-07-04,63.99,Delivered
1069,449,2025-07-03,42.75,Delivered
1070,804,2024-10-03,50.86,Delivered
1071,995,2025-06-26,36.11,Returned
1072,318,2025-03-01,75.98,Returned
1073,405,2025-07-12,36.59,Delivered
1074,719,2024-10-08,56.04,Delivered
1075,892,2024-07-04,103.55,Delivered
1076,728,2024-04-06,55.46,Returned
1077,801,2024-03-02,68.9,Delivered
1078,841,2024-02-13,55.91,Delivered
1079,995,2025-06-08,93.61,Delivered
1080,174,2025-07-08,5.0,Delivered
1081,446,2024-07-02,70.1,Delivered
1082,279,2023-11-20,85.15,Delivered
1083,152,2025-04-30,111.18,Returned
1084,305,2024-12-26,64.89,Delivered
1085,30,2025-05-08,21.49,Delivered
1086,730,2025-03-27,96.97,Cancelled
1087,708,2024-11-21,57.53,Delivered
1088,940,2025-04-20,104.87,Delivered
1089,583,2024-08-10,37.6,Delivered
1090,822,2024-05-01,76.16,Delivered
1091,241,2024-07-16,84.94,Delivered
1092,443,2025-04-18,92.54,Delivered
1093,282,2024-12-17,133.79,Delivered
1094,342,2025-03-07,69.31,Delivered
1095,920,2025-03-17,102.89,Delivered
1096,555,2025-05-31,63.62,Cancelled
1097,224,2025-07-14,53.28,Delivered
1098,804,2024-09-05,59.71,Cancelled
1099,908,2025-03-17,85.0,Returned
1100,671,2024-10-14,112.2,Delivered
1101,314,2025-03-15,75.92,Delivered
1102,514,2024-04-09,111.49,Delivered
1103,432,2025-06-07,8.84,Delivered
1104,573,2025-03-15,74.77,Delivered
1105,312,2024-07-28,130.13,Delivered
1106,98,2025-02-03,91.28,Delivered
1107,1000,2025-06-29,145.79,Delivered
1108,57,2023-12-18,105.35,Delivered
1109,299,2025-02-05,41.07,Cancelled
1110,570,2025-04-05,102.0,Returned
1111,441,2025-05-23,75.68,Delivered
1112,717,2024-07-01,38.77,Delivered
1113,736,2025-04-07,116.33,Delivered
1114,648,2024-04-26,30.92,Returned
1115,215,2024-11-17,5.0,Returned
1116,543,2025-03-06,36.39,Delivered
1117,640,2024-02-15,67.75,Delivered
1118,179,2023-08-31,98.49,Delivered
1119,730,2024-06-28,99.81,Delivered
1120,460,2025-04-19,5.0,Delivered
1121,989,2025-03-01,25.75,Delivered
1122,682,2025-06-07,51.22,Delivered
1123,828,2025-03-30,76.85,Delivered
1124,706,2025-06-06,139.35,Delivered
1125,379,2025-06-09,93.78,Delivered
1126,614,2025-06-01,183.34,Delivered
1127,841,2024-09-11,5.0,Returned
1128,58,2025-05-06,62.87,Returned
1129,939,2023-10-29,140.27,Delivered
1130,233,2024-07-25,23.55,Delivered
1131,925,2023-04-08,78.24,Delivered
1132,328,2024-08-24,114.99,Returned
1133,902,2023-06-07,101.43,Returned
1134,448,2025-04-02,106.17,Delivered
1135,152,2025-04-10,5.0,Delivered
1136,546,2025-03-07,36.66,Delivered
1137,607,2025-02-01,32.39,Delivered
1138,840,2025-05-07,86.5,Delivered
1139,625,2025-03-23,86.26,Delivered
1140,371,2023-12-27,103.54,Delivered
1141,802,2025-06-08,105.38,Delivered
1142,873,2024-12-23,63.78,Delivered
1143,633,2025-06-19,5.0,Returned
1144,49,2024-08-05,143.75,Delivered
1145,878,2024-10-11,174.62,Delivered
1146,38,2023-03-07,98.66,Delivered
1147,756,2024-09-20,153.96,Delivered
1148,123,2025-03-03,165.05,Delivered
1149,19,2025-06-26,33.35,Delivered
1150,655,2025-01-26,120.95,Cancelled
1151,336,2025-02-13,78.13,Delivered
1152,225,2025-02-20,24.12,Delivered
1153,106,2025-06-15,37.55,Delivered
1154,581,2025-06-29,95.69,Delivered
1155,241,2025-04-11,83.67,Delivered
1156,298,2025-06-20,39.45,Delivered
1157,699,2025-03-05,13.99,Delivered
1158,765,2023-12-15,39.13,Delivered
1159,985,2024-06-18,77.96,Delivered
1160,669,2025-04-11,20.67,Delivered
1161,828,2025-06-04,57.08,Delivered
1162,686,2024-08-15,9.87,Delivered
1163,837,2024-02-27,129.93,Returned
1164,512,2024-07-05,40.99,Returned
1165,836,2023-12-06,143.07,Delivered
1166,339,2025-02-25,6.56,Delivered
1167,541,2023-06-05,29.31,Delivered
1168,716,2024-01-09,63.02,Delivered
1169,564,2023-11-13,78.0,Delivered
1170,872,2023-05-22,5.0,Returned
1171,425,2024-07-25,28.48,Delivered
1172,95,2024-01-11,158.08,Delivered
1173,732,2025-03-01,38.48,Delivered
1174,315,2025-07-09,26.47,Delivered
1175,137,2025-05-12,75.94,Delivered
1176,260,2023-08-29,107.78,Delivered
1177,561,2023-01-27,131.19,Delivered
1178,692,2025-05-19,74.01,Delivered
1179,954,2024-01-28,90.63,Delivered
1180,72,2023-06-04,69.19,Delivered
1181,537,2025-02-22,114.69,Delivered
1182,332,2025-07-08,45.1,Cancelled
1183,367,2024-05-10,6.99,Delivered
1184,465,2024-12-25,94.73,Delivered
1185,403,2025-06-04,110.16,Delivered
1186,845,2023-11-14,59.91,Returned
1187,58,2025-02-02,62.13,Delivered
1188,271,2024-10-27,101.28,Delivered
1189,269,2025-03-15,87.6,Delivered
1190,424,2023-08-09,37.21,Delivered
1191,146,2023-12-26,12.49,Delivered
1192,879,2024-10-15,93.36,Delivered
1193,305,2024-10-29,65.54,Returned
1194,962,2024-02-14,23.21,Delivered
1195,99,2024-09-05,17.05,Returned
1196,596,2025-06-15,62.05,Delivered
1197,234,2025-04-29,112.24,Delivered
1198,489,2024-06-19,73.5,Cancelled
1199,719,2025-04-04,60.71,Delivered
1200,183,2025-03-04,133.87,Cancelled
1201,162,2024-12-20,124.77,Returned
1202,418,2024-06-27,109.15,Delivered
1203,948,2024-07-15,52.6,Delivered
1204,416,2024-10-07,60.46,Delivered
1205,774,2025-05-15,131.41,Delivered
1206,574,2024-05-14,81.87,Delivered
1207,965,2025-01-02,112.52,Delivered
1208,736,2025-07-04,34.4,Delivered
1209,187,2024-01-18,78.01,Cancelled
1210,461,2024-04-22,128.39,Delivered
1211,471,2023-11-08,35.82,Delivered
1212,519,2025-01-01,59.72,Delivered
1213,243,2025-06-12,25.82,Delivered
1214,768,2022-12-02,54.04,Cancelled
1215,753,2023-04-23,30.19,Cancelled
1216,909,2023-09-03,5.0,Delivered
1217,410,2025-06-03,27.89,Delivered
1218,490,2023-08-12,110.76,Delivered
1219,408,2025-06-08,48.6,Delivered
1220,9,2024-09-24,52.36,Cancelled
1221,789,2024-09-15,70.23,Delivered
1222,535,2024-11-15,105.37,Delivered
1223,930,2024-04-18,26.42,Delivered
1224,768,2025-02-09,153.98,Delivered
1225,226,2023-06-16,86.91,Delivered
1226,760,2024-12-24,40.97,Delivered
1227,277,2024-09-03,100.78,Returned
1228,126,2025-05-16,124.27,Delivered
1229,894,2024-10-07,99.42,Cancelled
1230,25,2025-04-04,59.52,Delivered
1231,145,2023-05-16,95.1,Delivered
1232,812,2023-10-05,98.4,Delivered
1233,748,2025-07-14,49.09,Delivered
1234,330,2023-08-01,50.65,Delivered
1235,715,2024-04-06,124.59,Delivered
1236,86,2025-02-21,64.21,Returned
1237,92,2024-01-13,53.69,Delivered
1238,748,2024-12-10,32.71,Delivered
1239,941,2025-04-13,50.47,Delivered
1240,68,2025-05-20,129.88,Delivered
1241,905,2023-09-27,59.14,Delivered
1242,974,2025-06-22,29.77,Delivered
1243,390,2025-04-08,85.47,Returned
1244,739,2025-07-14,102.37,Delivered
1245,775,2025-04-07,75.42,Delivered
1246,836,2023-12-08,70.8,Delivered
1247,154,2025-07-11,110.8,Delivered
1248,71,2024-02-10,92.98,Delivered
1249,581,2025-05-03,54.01,Delivered
1250,274,2023-07-11,126.93,Delivered
1251,99,2025-03-26,30.09,Delivered
1252,644,2024-03-15,71.55,Delivered
1253,633,2025-06-15,36.61,Delivered
1254,522,2025-04-29,43.77,Cancelled
1255,810,2024-10-16,119.01,Cancelled
1256,629,2023-09-18,99.68,Delivered
1257,429,2024-12-26,91.71,Delivered
1258,129,2025-03-13,16.87,Delivered
1259,331,2024-02-16,111.47,Returned
1260,270,2025-06-30,64.45,Returned
1261,512,2024-12-03,90.19,Returned
1262,586,2024-01-10,44.29,Delivered
1263,473,2025-07-13,65.36,Delivered
1264,126,2025-06-26,37.62,Delivered
1265,498,2025-05-02,72.0,Delivered
1266,881,2023-07-31,76.47,Delivered
1267,132,2023-06-14,65.89,Cancelled
1268,962,2024-04-21,51.93,Delivered
1269,870,2025-04-30,68.65,Delivered
1270,349,2025-03-12,78.37,Delivered
1271,849,2025-05-13,95.0,Delivered
1272,61,2024-11-07,51.88,Delivered
1273,242,2022-12-23,90.7,Returned
1274,181,2025-06-09,67.89,Delivered
1275,776,2025-05-01,85.58,Delivered
1276,145,2023-03-01,82.21,Delivered
1277,380,2024-08-22,101.67,Delivered
1278,934,2024-04-27,8.02,Delivered
1279,933,2023-07-03,25.56,Delivered
1280,479,2024-12-20,79.78,Delivered
1281,892,2025-06-27,89.14,Delivered
1282,839,2025-04-27,34.79,Delivered
1283,193,2024-03-03,59.43,Delivered
1284,739,2025-05-03,125.62,Delivered
1285,125,2025-03-11,75.1,Returned
1286,468,2024-02-21,52.3,Delivered
1287,468,2023-02-17,70.5,Delivered
1288,845,2024-09-02,69.84,Delivered
1289,461,2023-09-06,62.51,Delivered
1290,338,2025-05-18,40.97,Delivered
1291,82,2024-02-22,44.79,Delivered
1292,833,2024-12-11,39.22,Delivered
1293,92,2024-05-01,54.72,Delivered
1294,691,2025-02-10,120.37,Delivered
1295,463,2025-04-08,26.04,Delivered
1296,181,2023-02-16,151.27,Delivered
1297,518,2025-05-05,5.0,Delivered
1298,520,2025-05-16,51.26,Delivered
1299,273,2024-11-07,113.41,Returned
1300,337,2024-09-30,114.57,Returned
1301,877,2025-07-08,36.82,Delivered
1302,785,2024-09-07,84.43,Delivered
